Timestamp for sample frequency every 15 min min, Temperature_Celsius,Relative_Humidity
2025-07-16 09:00:00,25,51.2
2025-07-16 09:15:00,26.1,46.9
2025-07-16 09:30:00,26,48
2025-07-16 09:45:00,25.6,49.6
2025-07-16 10:00:00,25,51.2
2025-07-16 10:15:00,24.7,52.7
2025-07-16 10:30:00,24.6,53.3
2025-07-16 10:45:00,24.7,53.3
2025-07-16 11:00:00,24.5,53.9
2025-07-16 11:15:00,24.6,53.5
2025-07-16 11:30:00,24.8,52.7
2025-07-16 11:45:00,25,53.3
2025-07-16 12:00:00,25.2,51.7
2025-07-16 12:15:00,25.3,50.1
2025-07-16 12:30:00,25.5,49.9
2025-07-16 12:45:00,25.6,50.2
2025-07-16 13:00:00,25.5,50.7
2025-07-16 13:15:00,25.6,50.6
2025-07-16 13:30:00,25.6,51.1
2025-07-16 13:45:00,25.7,49.9
2025-07-16 14:00:00,25.9,48.4
2025-07-16 14:15:00,26,47.2
2025-07-16 14:30:00,26,46.9
2025-07-16 14:45:00,26.2,46.9
2025-07-16 15:00:00,26.3,46.1
2025-07-16 15:15:00,26.5,46.2
2025-07-16 15:30:00,26.4,46.2
2025-07-16 15:45:00,26.4,46.1
2025-07-16 16:00:00,26.5,45.1
2025-07-16 16:15:00,26.5,42.9
2025-07-16 16:30:00,26.7,42.9
2025-07-16 16:45:00,26.8,43.1
2025-07-16 17:00:00,26.8,42.9
2025-07-16 17:15:00,27,42.8
2025-07-16 17:30:00,27,42.8
2025-07-16 17:45:00,27,42.9
2025-07-16 18:00:00,27,42.4
2025-07-16 18:15:00,27,42.8
2025-07-16 18:30:00,27,42.7
2025-07-16 18:45:00,27,42.9
2025-07-16 19:00:00,26.9,42.6
2025-07-16 19:15:00,26.9,42.1
2025-07-16 19:30:00,26.9,42.5
2025-07-16 19:45:00,26.9,42.3
2025-07-16 20:00:00,26.9,41.9
2025-07-16 20:15:00,26.9,42
2025-07-16 20:30:00,26.8,41.8
2025-07-16 20:45:00,26.8,41.7
2025-07-16 21:00:00,26.8,41.9
2025-07-16 21:15:00,26.8,41.8
2025-07-16 21:30:00,26.7,42
2025-07-16 21:45:00,26.7,41.9
2025-07-16 22:00:00,26.8,42.8
2025-07-16 22:15:00,26.7,44
2025-07-16 22:30:00,26.6,44.9
2025-07-16 22:45:00,26.5,45.4
2025-07-16 23:00:00,26.5,45.8
2025-07-16 23:15:00,26.5,45.9
2025-07-16 23:30:00,26.4,46
2025-07-16 23:45:00,26.3,46.7
2025-07-17 00:00:00,26.3,46.7
2025-07-17 00:15:00,26.2,46.9
2025-07-17 00:30:00,26.2,47.6
2025-07-17 00:45:00,26.1,48.3
2025-07-17 01:00:00,26,48.9
2025-07-17 01:15:00,26,48.7
2025-07-17 01:30:00,25.9,48.8
2025-07-17 01:45:00,25.9,48.8
2025-07-17 02:00:00,25.8,49.2
2025-07-17 02:15:00,25.8,49.6
2025-07-17 02:30:00,25.8,49.5
2025-07-17 02:45:00,25.7,49.3
2025-07-17 03:00:00,25.7,49.1
2025-07-17 03:15:00,25.7,48.6
2025-07-17 03:30:00,25.7,47.9
2025-07-17 03:45:00,25.7,47.4
2025-07-17 04:00:00,25.7,47
2025-07-17 04:15:00,25.7,46.9
2025-07-17 04:30:00,25.6,46.7
2025-07-17 04:45:00,25.6,46.7
2025-07-17 05:00:00,25.5,46.9
2025-07-17 05:15:00,25.5,47.1
2025-07-17 05:30:00,25.5,47.1
2025-07-17 05:45:00,25.5,46.9
2025-07-17 06:00:00,25.5,46.9
2025-07-17 06:15:00,25.5,46.9
2025-07-17 06:30:00,25.5,47.1
2025-07-17 06:45:00,25.5,47.4
2025-07-17 07:00:00,25.5,47.6
2025-07-17 07:15:00,25.4,47.4
2025-07-17 07:30:00,25.5,47.1
2025-07-17 07:45:00,25.4,47.3
2025-07-17 08:00:00,25.4,47.5
2025-07-17 08:15:00,25.3,47.1
2025-07-17 08:30:00,25.3,46.7
