Timestamp for sample frequency every 30 min min, Temperature_Celsius(calibrated -0.6 deg C),Relative_Humidity
2025-03-22 17:40:00,24.3,29.7
2025-03-22 18:10:00,24.4,30.3
2025-03-22 18:40:00,24.8,30.2
2025-03-22 19:10:00,25.1,30.1
2025-03-22 19:40:00,25.2,30.5
2025-03-22 20:10:00,24.2,38.2
2025-03-22 20:40:00,23.9,41.3
2025-03-22 21:10:00,23.6,42.4
2025-03-22 21:40:00,23.3,41.9
2025-03-22 22:10:00,23.1,42.8
2025-03-22 22:40:00,22.9,40.4
2025-03-22 23:10:00,21.5,38.2
2025-03-22 23:40:00,21.6,46.9
2025-03-23 00:10:00,22.2,46.4
2025-03-23 00:40:00,22.6,40.5
2025-03-23 01:10:00,23,38.2
2025-03-23 01:40:00,23,38.1
2025-03-23 02:10:00,22.9,36.5
2025-03-23 02:40:00,23,36.1
2025-03-23 03:10:00,23.1,36.2
2025-03-23 03:40:00,23.1,35.7
2025-03-23 04:10:00,22.9,36.4
2025-03-23 04:40:00,22.9,36.3
2025-03-23 05:10:00,22.7,36
2025-03-23 05:40:00,22.4,36.8
2025-03-23 06:10:00,22,37.5
2025-03-23 06:40:00,21.3,38.8
2025-03-23 07:10:00,21.1,40
2025-03-23 07:40:00,20.8,40.5
2025-03-23 08:10:00,20.7,41.1
2025-03-23 08:40:00,20.6,41.1
2025-03-23 09:10:00,20.5,41
2025-03-23 09:40:00,20.6,41.4
2025-03-23 10:10:00,20.5,41.3
2025-03-23 10:40:00,20.5,41.2
2025-03-23 11:10:00,20.4,41.4
2025-03-23 11:40:00,20.4,41.7
2025-03-23 12:10:00,20.4,41.6
2025-03-23 12:40:00,20.4,41.6
2025-03-23 13:10:00,20.3,42.1
2025-03-23 13:40:00,20.7,42.5
2025-03-23 14:10:00,21.6,42.1
2025-03-23 14:40:00,22.1,41.2
2025-03-23 15:10:00,23,40.7
2025-03-23 15:40:00,23.7,39.2
2025-03-23 16:10:00,23.9,38.4
2025-03-23 16:40:00,24.2,37.6
2025-03-23 17:10:00,23.6,38.4
2025-03-23 17:40:00,24.2,36.7
2025-03-23 18:10:00,24.5,35.9
2025-03-23 18:40:00,24,36.2
2025-03-23 19:10:00,24.1,36.2
2025-03-23 19:40:00,23.8,37
2025-03-23 20:10:00,24.3,37
2025-03-23 20:40:00,24.6,36.6
2025-03-23 21:10:00,24.1,33.3
2025-03-23 21:40:00,22.3,42
2025-03-23 22:10:00,21.8,38.6
